id,leadId,fromTeamId,toTeamId,transferredByProfileId,receivedByProfileId,fromManagerId,toManagerId,transferTagUsed,preScheduledAt,scheduledAtTransfer,createdAt
d8cf1049-420b-4424-983e-270c2a58b862,4a68ee03-b6ea-4198-a617-133fe715aa37,7b577c22-5513-42cc-ab19-2bf867e14ebc,a9c81e05-8b1a-47ad-a80d-dbc45603f068,62a2569e-4be2-4326-bddd-3c6116ed18b0,493aecc1-6791-4d62-bc63-f4f55c78e44e,0c96a57e-6cc1-400f-bf3a-5740b699ac21,0c96a57e-6cc1-400f-bf3a-5740b699ac21,t,,t,2026-06-22 13:51:11.173+00
2b015912-9729-44b5-a894-8db402f7ba4d,88056430-0e80-4c9e-8dd0-209308d5b6d3,7b577c22-5513-42cc-ab19-2bf867e14ebc,3258f102-8146-4986-964f-8c8f53441300,62a2569e-4be2-4326-bddd-3c6116ed18b0,678c949f-b372-4aba-9d9b-26d422134531,0c96a57e-6cc1-400f-bf3a-5740b699ac21,0c96a57e-6cc1-400f-bf3a-5740b699ac21,t,2026-06-24 19:00:00+00,t,2026-06-22 18:04:21.394+00
da440eac-48da-4f42-b527-f5e83cb0216f,62e81672-fdc8-47d5-9432-f7d612744dfe,7b577c22-5513-42cc-ab19-2bf867e14ebc,760fc14a-229e-4212-9aa9-f90de968af69,62a2569e-4be2-4326-bddd-3c6116ed18b0,1ed74e00-4a16-47cb-84fc-8021943b5fa3,0c96a57e-6cc1-400f-bf3a-5740b699ac21,0c96a57e-6cc1-400f-bf3a-5740b699ac21,t,2026-06-23 20:00:00+00,t,2026-06-23 13:13:48.877+00
7f12d979-e0e6-4b74-8757-fdbbf1517514,dbb54880-6bad-4a1d-915f-84bc1121b480,7b577c22-5513-42cc-ab19-2bf867e14ebc,3258f102-8146-4986-964f-8c8f53441300,62a2569e-4be2-4326-bddd-3c6116ed18b0,678c949f-b372-4aba-9d9b-26d422134531,0c96a57e-6cc1-400f-bf3a-5740b699ac21,0c96a57e-6cc1-400f-bf3a-5740b699ac21,t,2026-06-23 18:00:00+00,t,2026-06-23 13:16:05.807+00
067e88fc-747f-4daa-a101-388271f392f1,2e9d611b-a497-4462-995e-3ed93c051cdf,7b577c22-5513-42cc-ab19-2bf867e14ebc,27edf455-e61a-48a9-a846-e2c6f42999b5,62a2569e-4be2-4326-bddd-3c6116ed18b0,2a72272f-56f2-4104-9952-5d3d8b19ff1d,0c96a57e-6cc1-400f-bf3a-5740b699ac21,0c96a57e-6cc1-400f-bf3a-5740b699ac21,t,2026-06-26 21:00:00+00,t,2026-06-23 16:39:43.763+00
b7d5989b-c343-46cc-b01e-18aaaab0c5e6,b0217d01-80f0-4b55-8ea4-a6638c6a49ac,7b577c22-5513-42cc-ab19-2bf867e14ebc,a9c81e05-8b1a-47ad-a80d-dbc45603f068,62a2569e-4be2-4326-bddd-3c6116ed18b0,493aecc1-6791-4d62-bc63-f4f55c78e44e,0c96a57e-6cc1-400f-bf3a-5740b699ac21,0c96a57e-6cc1-400f-bf3a-5740b699ac21,t,2026-06-23 17:30:00+00,t,2026-06-23 16:42:26.959+00
64901178-c0ef-4ec3-a91b-752efbfbdf77,bf6bce71-caf7-4e6b-b056-8fbb91ea83b0,7b577c22-5513-42cc-ab19-2bf867e14ebc,bdef184d-6217-4cdf-a59f-dc37008d13fd,d97f16a7-e2f6-4194-9425-f82d793e73ce,72aeb445-484f-4979-8c2a-d34ec40b22b0,0c96a57e-6cc1-400f-bf3a-5740b699ac21,0c96a57e-6cc1-400f-bf3a-5740b699ac21,t,2026-06-25 18:00:00+00,t,2026-06-24 13:32:18.873+00
b4d5e4b5-9c26-4c52-9e36-b29a81cb823f,6183f578-8db1-45c6-9788-7c52354fa38b,7b577c22-5513-42cc-ab19-2bf867e14ebc,a9c81e05-8b1a-47ad-a80d-dbc45603f068,d97f16a7-e2f6-4194-9425-f82d793e73ce,493aecc1-6791-4d62-bc63-f4f55c78e44e,0c96a57e-6cc1-400f-bf3a-5740b699ac21,0c96a57e-6cc1-400f-bf3a-5740b699ac21,t,2026-06-25 17:00:00+00,t,2026-06-24 17:37:05.132+00
3f9b937d-4f7c-4b55-9e84-212356c08253,f9077e85-5163-4d29-8f17-1b3f610e719b,7b577c22-5513-42cc-ab19-2bf867e14ebc,13bbd043-efcc-4c8a-9edd-f34941547546,d97f16a7-e2f6-4194-9425-f82d793e73ce,2528e875-ab7b-4905-a98b-998a318b883e,0c96a57e-6cc1-400f-bf3a-5740b699ac21,0c96a57e-6cc1-400f-bf3a-5740b699ac21,t,2026-06-25 20:00:00+00,t,2026-06-24 18:08:51.485+00
ad7c1d83-578c-408d-b284-b814053ea494,d81796f4-4511-4885-8272-c284d4335ff1,7b577c22-5513-42cc-ab19-2bf867e14ebc,27edf455-e61a-48a9-a846-e2c6f42999b5,d97f16a7-e2f6-4194-9425-f82d793e73ce,2a72272f-56f2-4104-9952-5d3d8b19ff1d,0c96a57e-6cc1-400f-bf3a-5740b699ac21,0c96a57e-6cc1-400f-bf3a-5740b699ac21,t,2026-06-25 15:30:00+00,t,2026-06-24 19:43:43.14+00
16347b64-75a9-4f7c-b5b2-e722dca1e087,f76118ca-74b5-4cc1-bf92-6a37fb7094c4,7b577c22-5513-42cc-ab19-2bf867e14ebc,3258f102-8146-4986-964f-8c8f53441300,d97f16a7-e2f6-4194-9425-f82d793e73ce,678c949f-b372-4aba-9d9b-26d422134531,0c96a57e-6cc1-400f-bf3a-5740b699ac21,0c96a57e-6cc1-400f-bf3a-5740b699ac21,t,2026-06-26 12:30:00+00,t,2026-06-25 19:28:44.135+00
6a206e31-5bf8-4fc8-bff2-62577276e501,4e6a1ed2-70ee-40f0-9307-f2394d72f899,7b577c22-5513-42cc-ab19-2bf867e14ebc,27edf455-e61a-48a9-a846-e2c6f42999b5,d97f16a7-e2f6-4194-9425-f82d793e73ce,2a72272f-56f2-4104-9952-5d3d8b19ff1d,0c96a57e-6cc1-400f-bf3a-5740b699ac21,0c96a57e-6cc1-400f-bf3a-5740b699ac21,t,2026-06-26 13:00:00+00,t,2026-06-25 20:52:51.716+00
76b87b90-0788-42de-9cb6-2033e62b917b,472ad7bd-cb79-4eaa-85fd-7faa7de1bf22,7b577c22-5513-42cc-ab19-2bf867e14ebc,27edf455-e61a-48a9-a846-e2c6f42999b5,d97f16a7-e2f6-4194-9425-f82d793e73ce,2a72272f-56f2-4104-9952-5d3d8b19ff1d,0c96a57e-6cc1-400f-bf3a-5740b699ac21,0c96a57e-6cc1-400f-bf3a-5740b699ac21,t,2026-06-29 13:00:00+00,t,2026-06-26 16:10:54.505+00
9201b3ec-16a9-4b9c-b1cb-5877b343d822,cd8a5447-6529-45ad-901f-43bf4ab1e454,7b577c22-5513-42cc-ab19-2bf867e14ebc,27edf455-e61a-48a9-a846-e2c6f42999b5,d97f16a7-e2f6-4194-9425-f82d793e73ce,2a72272f-56f2-4104-9952-5d3d8b19ff1d,0c96a57e-6cc1-400f-bf3a-5740b699ac21,0c96a57e-6cc1-400f-bf3a-5740b699ac21,t,2026-06-29 20:00:00+00,t,2026-06-26 21:26:19.747+00
bff76591-0db1-472a-9790-58dd71813b8f,e74c223f-bb5b-458b-969a-a42ea48e961c,7b577c22-5513-42cc-ab19-2bf867e14ebc,a9c81e05-8b1a-47ad-a80d-dbc45603f068,d97f16a7-e2f6-4194-9425-f82d793e73ce,0c96a57e-6cc1-400f-bf3a-5740b699ac21,0c96a57e-6cc1-400f-bf3a-5740b699ac21,0c96a57e-6cc1-400f-bf3a-5740b699ac21,t,2026-07-01 13:30:00+00,t,2026-06-30 18:59:58.349+00
98626be8-1da5-427c-bdba-f1adeee14085,93614566-b66b-4b5f-8a77-5dd7271b5d66,7b577c22-5513-42cc-ab19-2bf867e14ebc,13bbd043-efcc-4c8a-9edd-f34941547546,d97f16a7-e2f6-4194-9425-f82d793e73ce,2528e875-ab7b-4905-a98b-998a318b883e,0c96a57e-6cc1-400f-bf3a-5740b699ac21,0c96a57e-6cc1-400f-bf3a-5740b699ac21,t,2026-07-02 20:30:00+00,t,2026-07-01 13:22:02.328+00
