id,profileSubscriptionId,includedExtraTeams,includedExtraUsers,manualAdjustmentExtraTeams,manualAdjustmentExtraUsers,createdAt,updatedAt
aaf8bd39-cb01-4084-ae53-4fe4f10308bd,11d43b66-dccb-4930-a092-afa5cc0591c6,0,0,0,0,2026-05-27 19:27:07.489+00,2026-05-27 19:27:07.489+00
177e144e-4b22-4891-bd7e-e53dc131b569,1c3ed4d5-f788-4f03-8e18-f0936b9a7479,0,0,0,0,2026-05-27 22:07:40.705+00,2026-05-27 22:07:40.705+00
e673bb57-499e-456a-83e2-baf84609002b,ce22b17b-44ce-49df-9be8-065218d34ae8,0,1,0,0,2026-06-09 19:45:03.638+00,2026-06-09 19:45:03.638+00
0acd2474-22db-4934-ae82-064a7fdd16c2,6e821d48-85b8-44f1-b3d5-d72909aaf6fe,0,3,0,0,2026-06-09 19:48:43.315+00,2026-06-09 19:48:43.315+00
d0796b8a-a788-4111-81eb-3b24fa8794ad,dc42c019-bc88-42d3-9843-ec7995d9a851,0,1,0,0,2026-06-09 19:50:55.903+00,2026-06-09 19:50:55.903+00
1d13517b-79b6-4ffd-8bd6-1944e4f65eeb,75911eaf-930c-4c4a-90e8-cda82e6f9a99,0,1,0,0,2026-06-09 19:52:44.619+00,2026-06-09 19:52:44.619+00
b10730f6-9ded-4493-84cd-fc1aebd15079,c6d94270-1b86-4996-b9e0-b5800a028f11,0,0,0,0,2026-06-09 19:54:43.387+00,2026-06-09 19:54:43.387+00
e6dfe044-460d-449e-95f3-50c482720b4a,35f53977-dd68-4e72-86d1-cad5170cfecc,0,1,0,0,2026-06-09 19:57:41.429+00,2026-06-09 19:57:41.429+00
56c5bb5c-3f59-4239-a7f4-a4fbbc7f9b41,743ac770-669b-48cd-b099-f5136d53f735,0,4,0,0,2026-06-09 20:00:27.867+00,2026-06-09 20:00:27.867+00
eecb7b7c-d501-4259-8fb9-1280aa7f608f,f956535d-385e-429e-b554-3c9784e25d1a,0,0,0,0,2026-06-22 19:20:03.413+00,2026-06-22 19:20:03.413+00
89c5a0e7-3051-4877-8743-656da251424f,f9365d57-50d9-4f98-9d99-29f8652c7690,0,0,0,0,2026-06-22 19:26:45.295+00,2026-06-22 19:26:45.295+00
74a37a63-fcc5-41bc-af44-9907b3152a96,0f68948e-c0b0-41d8-b254-69237c5bee17,0,0,0,0,2026-06-24 14:45:10.243+00,2026-06-24 14:45:10.243+00
17055eb6-77d2-428c-99b5-f69034213e0e,31375177-8972-4e33-b8da-5ed86608c351,0,0,0,0,2026-06-29 20:38:20.686+00,2026-06-29 20:38:20.686+00
61c4e643-b69a-4bea-b474-3d30d44aa9d7,e674c8cf-b531-4011-a6cb-80a9e0792ad6,0,0,0,0,2026-07-06 20:35:14.624+00,2026-07-06 20:35:14.624+00
9fc71c69-bfe1-4622-acd4-0fc90da3c88e,0bf9a186-6587-40d2-bfb9-0bce61a676f5,0,0,0,0,2026-07-06 20:36:31.278+00,2026-07-06 20:36:31.278+00
12b4a36f-0bd5-44b9-ac8c-021e22ff075e,483d5572-cf5f-493b-a7a6-1b23f408f66a,0,0,0,0,2026-07-08 19:58:46.868+00,2026-07-08 19:58:46.868+00
2bef8818-924b-45b3-bde2-699366837719,74cb53d6-2b81-4893-ba8c-828378d9a07c,0,0,0,0,2026-07-08 23:51:18.967+00,2026-07-08 23:51:18.967+00
5811e57f-4d2a-4eac-8ee0-1a0f125065d8,ffe34c3a-f4c3-4a9d-b3a8-c317e9ac66f4,0,1,0,0,2026-07-16 17:58:08.897+00,2026-07-16 17:58:08.897+00
325c6363-abb2-4795-a965-ad351b42648d,df0f05e1-6edf-4ebe-ae56-e3f766cb1414,0,0,0,0,2026-07-20 12:15:58.304+00,2026-07-20 12:15:58.304+00
c69520f4-cb63-40d7-8355-0c9b5c1dc00a,1dfaa4ee-98b8-424d-8662-a3ddd5157b22,0,0,0,0,2026-07-20 18:54:02.955+00,2026-07-20 18:54:02.955+00
ec302c58-4c9e-497e-8848-3b96ca7a8f54,f7d464ca-da0d-446e-9169-e0d55c57b640,0,0,0,0,2026-07-27 19:56:16.465+00,2026-07-27 19:56:16.465+00
