id,templateId,teamId,actorProfileId,eventType,description,metadata,createdAt
4078f466-7cfe-4602-8083-3b9f5c0281eb,551fb25c-df51-46ef-ac5b-43cdfb60d3ec,32ccdbe1-627f-4fe3-a506-056b997ed89b,b0737bfd-7bea-493b-8cfc-14946fcea8cd,created,Template criado,"{""versionNumber"": 1}",2026-07-04 19:13:48.257+00
037fcf26-038a-474f-b2d0-9a7e710e43d0,551fb25c-df51-46ef-ac5b-43cdfb60d3ec,32ccdbe1-627f-4fe3-a506-056b997ed89b,b0737bfd-7bea-493b-8cfc-14946fcea8cd,draft_saved,Rascunho salvo,"{""versionNumber"": 1}",2026-07-04 19:15:39.204+00
f783ae97-703c-4472-b41b-2404fd5cc85d,551fb25c-df51-46ef-ac5b-43cdfb60d3ec,32ccdbe1-627f-4fe3-a506-056b997ed89b,b0737bfd-7bea-493b-8cfc-14946fcea8cd,draft_saved,Rascunho salvo,"{""versionNumber"": 1}",2026-07-04 19:23:36.104+00
d0be8aa4-e974-4be7-b24f-8dc6488a1d45,551fb25c-df51-46ef-ac5b-43cdfb60d3ec,32ccdbe1-627f-4fe3-a506-056b997ed89b,b0737bfd-7bea-493b-8cfc-14946fcea8cd,published,Template publicado,"{""versionNumber"": 1}",2026-07-04 19:23:36.527+00
4ba24feb-8096-468e-bed6-de005fed9ad9,d5f3c28d-7072-4d35-89c6-934355b06698,32ccdbe1-627f-4fe3-a506-056b997ed89b,b0737bfd-7bea-493b-8cfc-14946fcea8cd,created,Template criado,"{""versionNumber"": 1}",2026-07-04 19:26:52.574+00
1b5eca7b-07a2-490a-af9c-db41fc9d7541,d5f3c28d-7072-4d35-89c6-934355b06698,32ccdbe1-627f-4fe3-a506-056b997ed89b,b0737bfd-7bea-493b-8cfc-14946fcea8cd,draft_saved,Rascunho salvo,"{""versionNumber"": 1}",2026-07-04 19:32:19.287+00
ed923960-77dd-43ea-ba38-62607ef65376,d5f3c28d-7072-4d35-89c6-934355b06698,32ccdbe1-627f-4fe3-a506-056b997ed89b,b0737bfd-7bea-493b-8cfc-14946fcea8cd,draft_saved,Rascunho salvo,"{""versionNumber"": 1}",2026-07-04 19:35:28.271+00
5c780d86-7a87-4724-85df-d18088ea035e,d5f3c28d-7072-4d35-89c6-934355b06698,32ccdbe1-627f-4fe3-a506-056b997ed89b,b0737bfd-7bea-493b-8cfc-14946fcea8cd,draft_saved,Rascunho salvo,"{""versionNumber"": 1}",2026-07-04 19:36:18.182+00
363e9bc8-f21b-4933-a50a-ba99d0b1f038,d5f3c28d-7072-4d35-89c6-934355b06698,32ccdbe1-627f-4fe3-a506-056b997ed89b,b0737bfd-7bea-493b-8cfc-14946fcea8cd,draft_saved,Rascunho salvo,"{""versionNumber"": 1}",2026-07-04 19:37:02.544+00
a782e752-1ca1-41c5-8a8d-d8bfe6ba61b7,d5f3c28d-7072-4d35-89c6-934355b06698,32ccdbe1-627f-4fe3-a506-056b997ed89b,b0737bfd-7bea-493b-8cfc-14946fcea8cd,draft_saved,Rascunho salvo,"{""versionNumber"": 1}",2026-07-04 19:38:27.974+00
e08116e5-5570-403d-ae43-860d197b7cc7,d5f3c28d-7072-4d35-89c6-934355b06698,32ccdbe1-627f-4fe3-a506-056b997ed89b,b0737bfd-7bea-493b-8cfc-14946fcea8cd,draft_saved,Rascunho salvo,"{""versionNumber"": 1}",2026-07-04 19:41:18.742+00
cac3de64-0307-4a6c-ae22-fc781eeb7293,d5f3c28d-7072-4d35-89c6-934355b06698,32ccdbe1-627f-4fe3-a506-056b997ed89b,b0737bfd-7bea-493b-8cfc-14946fcea8cd,draft_saved,Rascunho salvo,"{""versionNumber"": 1}",2026-07-04 19:43:56.828+00
287a6d38-1c5b-4ccf-9086-164aa26e4390,d5f3c28d-7072-4d35-89c6-934355b06698,32ccdbe1-627f-4fe3-a506-056b997ed89b,b0737bfd-7bea-493b-8cfc-14946fcea8cd,published,Template publicado,"{""versionNumber"": 1}",2026-07-04 19:43:57.199+00
e3de546b-5d6d-45d8-90d7-723222e88f98,95223f9d-4a02-4ff8-8fe0-f8f0052a46a7,32ccdbe1-627f-4fe3-a506-056b997ed89b,b0737bfd-7bea-493b-8cfc-14946fcea8cd,created,Template criado,"{""versionNumber"": 1}",2026-07-04 20:08:49.225+00
aca367f9-8a54-458b-b3a2-5a36caa9b025,95223f9d-4a02-4ff8-8fe0-f8f0052a46a7,32ccdbe1-627f-4fe3-a506-056b997ed89b,b0737bfd-7bea-493b-8cfc-14946fcea8cd,draft_saved,Rascunho salvo,"{""versionNumber"": 1}",2026-07-04 20:09:39.654+00
edf1e34f-ea4a-42c9-bb31-34259ac55cba,95223f9d-4a02-4ff8-8fe0-f8f0052a46a7,32ccdbe1-627f-4fe3-a506-056b997ed89b,b0737bfd-7bea-493b-8cfc-14946fcea8cd,published,Template publicado,"{""versionNumber"": 1}",2026-07-04 20:09:39.973+00
1a6d90e7-24de-49a4-9a95-eb2850aab260,fd2f0c02-508b-44b3-8a8f-acf4ff802ac5,32ccdbe1-627f-4fe3-a506-056b997ed89b,b0737bfd-7bea-493b-8cfc-14946fcea8cd,created,Template criado,"{""versionNumber"": 1}",2026-07-04 20:11:00.581+00
e6e8ae60-976e-4718-b7d4-683daea545ce,fd2f0c02-508b-44b3-8a8f-acf4ff802ac5,32ccdbe1-627f-4fe3-a506-056b997ed89b,b0737bfd-7bea-493b-8cfc-14946fcea8cd,draft_saved,Rascunho salvo,"{""versionNumber"": 1}",2026-07-04 20:11:36.254+00
25ce4806-dd5a-47c8-9eca-b5691de72838,fd2f0c02-508b-44b3-8a8f-acf4ff802ac5,32ccdbe1-627f-4fe3-a506-056b997ed89b,b0737bfd-7bea-493b-8cfc-14946fcea8cd,published,Template publicado,"{""versionNumber"": 1}",2026-07-04 20:11:36.618+00
50813cab-0067-4163-92b3-5ad2496638e4,72131db2-2c67-4f60-a565-33de09cbcef9,32ccdbe1-627f-4fe3-a506-056b997ed89b,b0737bfd-7bea-493b-8cfc-14946fcea8cd,version_created,Versão 2.0 criada a partir da versão 1.0,"{""versionNumber"": 2, ""sourceTemplateId"": ""95223f9d-4a02-4ff8-8fe0-f8f0052a46a7""}",2026-07-04 20:46:08.522+00
