id,formId,publicationId,questionId,visitorSessionId,eventType,eventKey,origin,createdAt
98ac773f-fd34-4c6c-9382-0b069ffd9ae4,e1397c97-d109-4fd0-b1e0-7f5e287e4976,cdebe2f4-981a-48f8-b7b8-e5b84ae05b40,,970e7ad3-3166-448a-b8eb-eeed4ee0e3bb,form_viewed,970e7ad3-3166-448a-b8eb-eeed4ee0e3bb:form_viewed:form,"{""source"": ""direct"", ""landingUrl"": ""https://hom.corretorstudio.com/forms/14f173bb-684a-460a-8a96-4a5e5c1b494f""}",2026-07-20 22:56:46.167+00
296089c0-c075-4031-80bb-367350f7d6d3,e1397c97-d109-4fd0-b1e0-7f5e287e4976,cdebe2f4-981a-48f8-b7b8-e5b84ae05b40,,970e7ad3-3166-448a-b8eb-eeed4ee0e3bb,form_started,970e7ad3-3166-448a-b8eb-eeed4ee0e3bb:form_started:form,"{""source"": ""direct"", ""landingUrl"": ""https://hom.corretorstudio.com/forms/14f173bb-684a-460a-8a96-4a5e5c1b494f""}",2026-07-20 22:58:18.91+00
6d737080-34f7-499a-9a76-e1e600f67ffc,e1397c97-d109-4fd0-b1e0-7f5e287e4976,cdebe2f4-981a-48f8-b7b8-e5b84ae05b40,030f4305-e559-4480-92b9-875370b627e5,970e7ad3-3166-448a-b8eb-eeed4ee0e3bb,question_viewed,970e7ad3-3166-448a-b8eb-eeed4ee0e3bb:question_viewed:030f4305-e559-4480-92b9-875370b627e5,"{""source"": ""direct"", ""landingUrl"": ""https://hom.corretorstudio.com/forms/14f173bb-684a-460a-8a96-4a5e5c1b494f""}",2026-07-20 22:58:18.912+00
7639ca94-03a8-4751-a3a6-3ec2096785a8,e1397c97-d109-4fd0-b1e0-7f5e287e4976,cdebe2f4-981a-48f8-b7b8-e5b84ae05b40,f2d8022b-37bd-4d90-88c3-fb14b08bc6d8,970e7ad3-3166-448a-b8eb-eeed4ee0e3bb,question_viewed,970e7ad3-3166-448a-b8eb-eeed4ee0e3bb:question_viewed:f2d8022b-37bd-4d90-88c3-fb14b08bc6d8,"{""source"": ""direct"", ""landingUrl"": ""https://hom.corretorstudio.com/forms/14f173bb-684a-460a-8a96-4a5e5c1b494f""}",2026-07-20 22:59:05.724+00
120606d5-e189-4e42-8164-157ba4a59cad,e1397c97-d109-4fd0-b1e0-7f5e287e4976,cdebe2f4-981a-48f8-b7b8-e5b84ae05b40,030f4305-e559-4480-92b9-875370b627e5,970e7ad3-3166-448a-b8eb-eeed4ee0e3bb,question_answered,970e7ad3-3166-448a-b8eb-eeed4ee0e3bb:question_answered:030f4305-e559-4480-92b9-875370b627e5,"{""source"": ""direct"", ""landingUrl"": ""https://hom.corretorstudio.com/forms/14f173bb-684a-460a-8a96-4a5e5c1b494f""}",2026-07-20 22:59:05.767+00
2ec28102-500f-4b96-919a-b0fb616f8b44,e1397c97-d109-4fd0-b1e0-7f5e287e4976,cdebe2f4-981a-48f8-b7b8-e5b84ae05b40,f2d8022b-37bd-4d90-88c3-fb14b08bc6d8,970e7ad3-3166-448a-b8eb-eeed4ee0e3bb,question_answered,970e7ad3-3166-448a-b8eb-eeed4ee0e3bb:question_answered:f2d8022b-37bd-4d90-88c3-fb14b08bc6d8,"{""source"": ""direct"", ""landingUrl"": ""https://hom.corretorstudio.com/forms/14f173bb-684a-460a-8a96-4a5e5c1b494f""}",2026-07-20 22:59:12.481+00
8d3f4e1f-3ef8-4b97-a9c2-5ab4b389af1b,e1397c97-d109-4fd0-b1e0-7f5e287e4976,cdebe2f4-981a-48f8-b7b8-e5b84ae05b40,,e088788e-9ee8-4f65-af62-ab0a9ab7b826,form_viewed,e088788e-9ee8-4f65-af62-ab0a9ab7b826:form_viewed:form,"{""source"": ""direct"", ""landingUrl"": ""https://hom.corretorstudio.com/forms/14f173bb-684a-460a-8a96-4a5e5c1b494f""}",2026-07-21 01:40:31.862+00
a823d5ac-320e-42ce-a8ea-ae85b681fcfd,e1397c97-d109-4fd0-b1e0-7f5e287e4976,cdebe2f4-981a-48f8-b7b8-e5b84ae05b40,,e088788e-9ee8-4f65-af62-ab0a9ab7b826,form_started,e088788e-9ee8-4f65-af62-ab0a9ab7b826:form_started:form,"{""source"": ""direct"", ""landingUrl"": ""https://hom.corretorstudio.com/forms/14f173bb-684a-460a-8a96-4a5e5c1b494f""}",2026-07-21 01:40:49.998+00
90e52a08-e672-4378-83a1-f8b3c1f902db,e1397c97-d109-4fd0-b1e0-7f5e287e4976,cdebe2f4-981a-48f8-b7b8-e5b84ae05b40,030f4305-e559-4480-92b9-875370b627e5,e088788e-9ee8-4f65-af62-ab0a9ab7b826,question_viewed,e088788e-9ee8-4f65-af62-ab0a9ab7b826:question_viewed:030f4305-e559-4480-92b9-875370b627e5,"{""source"": ""direct"", ""landingUrl"": ""https://hom.corretorstudio.com/forms/14f173bb-684a-460a-8a96-4a5e5c1b494f""}",2026-07-21 01:40:50.052+00
5c721fc3-d66d-4e1f-b5e5-2bd99bfab08b,e1397c97-d109-4fd0-b1e0-7f5e287e4976,cdebe2f4-981a-48f8-b7b8-e5b84ae05b40,f2d8022b-37bd-4d90-88c3-fb14b08bc6d8,e088788e-9ee8-4f65-af62-ab0a9ab7b826,question_viewed,e088788e-9ee8-4f65-af62-ab0a9ab7b826:question_viewed:f2d8022b-37bd-4d90-88c3-fb14b08bc6d8,"{""source"": ""direct"", ""landingUrl"": ""https://hom.corretorstudio.com/forms/14f173bb-684a-460a-8a96-4a5e5c1b494f""}",2026-07-21 01:43:31.38+00
