id,profileId,status,consentVersion,consentedAt,declinedAt,dismissedAt,source,createdAt,updatedAt
9ce40ad2-2dd8-4fec-aec6-6ed8df6b411a,76e33705-980f-4c41-a0b3-3c25511b66cb,accepted,1.0,2026-07-01 21:27:21.259+00,,,login_prompt,2026-07-01 21:27:21.26+00,2026-07-01 21:27:21.26+00
a7e11f08-1e61-428f-b77c-a358a38eb05f,3f17eb42-de24-43c0-844f-e0f7296fb92c,accepted,1.0,2026-07-02 15:36:47.214+00,,,login_prompt,2026-07-02 15:36:47.215+00,2026-07-02 15:36:47.215+00
fbf9a1df-eeaf-4409-8b86-9ee25e16e9b3,bcf58dd1-b8c1-4e59-a257-4a72f695d7a1,accepted,1.0,2026-07-02 16:37:54.883+00,,,login_prompt,2026-07-02 16:37:54.884+00,2026-07-02 16:37:54.884+00
792f5d63-465e-442e-a23e-e202a9ecd67b,622792ae-2c9c-4456-8018-f733add31b7b,accepted,1.0,2026-07-03 12:19:57.023+00,,,login_prompt,2026-07-03 12:19:57.024+00,2026-07-03 12:19:57.024+00
d78543d0-9acf-4a9c-9239-a7347fbe6187,678b734f-19e2-4622-ab4e-fccd86f4877f,dismissed,1.0,,,2026-07-03 13:00:41.872+00,login_prompt,2026-07-03 13:00:41.873+00,2026-07-03 13:00:41.873+00
dc17a19a-a122-4d69-893f-0f4093d8d45e,c55a28b3-798e-45db-8129-8aeb8046dcd5,accepted,1.0,2026-07-03 15:08:53.03+00,,,login_prompt,2026-07-03 15:08:53.031+00,2026-07-03 15:08:53.031+00
ad03e2d0-0677-4451-abf0-75e66b73a52a,bcd8d8ed-7d85-4ef1-b232-2d78f1fd9636,dismissed,1.0,,,2026-07-03 16:59:23.576+00,login_prompt,2026-07-03 16:59:23.577+00,2026-07-03 16:59:23.577+00
9f39a981-a9b6-4d06-8068-33d6e4dffd18,ad6441cb-f477-404c-8dc4-400fcc9e3a7e,dismissed,1.0,,,2026-07-03 20:51:12.401+00,login_prompt,2026-07-03 20:51:12.403+00,2026-07-03 20:51:12.403+00
fd547bd4-ca3e-4afb-9c70-12de67a72fe9,37377abe-4302-4683-b26a-6277e0ee3fcc,dismissed,1.0,,,2026-07-06 11:36:50.963+00,login_prompt,2026-06-29 11:07:03.646+00,2026-07-06 11:36:50.964+00
2ed09f29-f4d8-425d-a70d-8047c4003c07,62a2569e-4be2-4326-bddd-3c6116ed18b0,declined,1.0,,2026-07-21 13:19:00.752+00,,login_prompt,2026-06-29 11:03:54.278+00,2026-07-21 13:19:00.753+00
6c7556ea-2714-4eb7-a2f0-1cd511aab201,bdcaf0e7-94cb-4745-ae1d-944ab5404b4d,accepted,1.0,2026-07-06 13:00:25.87+00,,,login_prompt,2026-06-29 12:14:53.148+00,2026-07-06 13:00:25.871+00
82fc6430-52ec-464b-9444-6266d599151e,b85e7fb2-5e76-433b-9bc6-8c5d1faacacc,dismissed,1.0,,,2026-07-06 13:41:51.385+00,login_prompt,2026-07-06 13:41:51.387+00,2026-07-06 13:41:51.387+00
123b4d80-6056-4c7f-a08f-c15121c86d6d,722da291-da15-4858-a74a-169c50dcc3b7,declined,1.0,,2026-07-06 13:58:48.474+00,,login_prompt,2026-06-29 12:10:19.735+00,2026-07-06 13:58:48.475+00
6fc9c750-1f05-4c2b-b6e1-9671a8a3be15,acac8fbf-d3b0-4728-8262-7d9eaaac3704,dismissed,1.0,,,2026-07-27 18:14:35.246+00,login_prompt,2026-06-30 18:17:07.795+00,2026-07-27 18:14:35.247+00
04860ad6-4107-468a-9551-434b37ee3d69,c7bf5dd7-bb6b-4135-845a-74e9481616c3,dismissed,1.0,,,2026-07-06 15:19:07.253+00,login_prompt,2026-06-29 12:16:53.155+00,2026-07-06 15:19:07.255+00
f0a248da-10b7-4100-8494-50cda7726573,d97f16a7-e2f6-4194-9425-f82d793e73ce,accepted,1.0,2026-07-06 15:20:44.169+00,,,login_prompt,2026-06-29 12:01:47.34+00,2026-07-06 15:20:44.171+00
1a00ab43-2c8b-45a2-9411-af54eac4fa9d,213d38b5-131f-4f69-a847-04bf5a759782,dismissed,1.0,,,2026-07-06 15:37:35.239+00,login_prompt,2026-07-06 15:37:35.24+00,2026-07-06 15:37:35.24+00
cbd57bcf-d93d-4670-871f-927c9f228640,bcfd95e5-293e-46d0-a33b-406bf7824b07,accepted,1.0,2026-07-06 16:48:35.245+00,,,login_prompt,2026-07-06 16:48:35.246+00,2026-07-06 16:48:35.246+00
b9646438-ff73-4f9f-bf5d-d6d1a9636be8,c1f13659-b28c-4d50-8375-5bf200294992,dismissed,1.0,,,2026-07-21 20:57:59.302+00,login_prompt,2026-06-29 20:55:14.247+00,2026-07-21 20:57:59.304+00
