id,capability,profileId,teamId,isActive,notes,grantedByProfileId,grantedAt,revokedByProfileId,revokedAt,createdAt,updatedAt
bd4a467f-3521-4947-953a-730f96cd3112,ASSOCIADOS_QUEUE,0c96a57e-6cc1-400f-bf3a-5740b699ac21,,t,Seed inicial,,2026-07-07 15:11:03.204568+00,,,2026-07-07 15:11:03.204568+00,2026-07-07 15:11:03.204568+00
892fd9f9-7e17-46f0-93d8-19d6aeafd673,ASSOCIADOS_QUEUE,8474aaf6-e7d1-4165-9bef-bf76bc701038,,t,Seed inicial,,2026-07-07 15:11:03.204568+00,,,2026-07-07 15:11:03.204568+00,2026-07-07 15:11:03.204568+00
34d0cc9d-7d91-4072-a7d5-9cbda675b097,MULTISKILL_TRANSFER_ORIGIN,,7b577c22-5513-42cc-ab19-2bf867e14ebc,t,Seed inicial,,2026-07-07 15:11:03.204568+00,,,2026-07-07 15:11:03.204568+00,2026-07-07 15:11:03.204568+00
