id,targetStatus,fieldKey,isEnabled,updatedByProfileId,createdAt,updatedAt
f071778b-c2fc-4592-b372-76c9e2142af9,pricingRequest,age,t,0c96a57e-6cc1-400f-bf3a-5740b699ac21,2026-06-29 02:27:25.4699+00,2026-06-29 02:27:25.4699+00
86307810-ffc7-49ae-a068-836adb965066,pricingRequest,currentHealthPlan,t,0c96a57e-6cc1-400f-bf3a-5740b699ac21,2026-06-29 02:27:25.4699+00,2026-06-29 02:27:25.4699+00
9c01dc29-f947-4bea-a408-62a3a4f79771,pricingRequest,referenceHospital,t,0c96a57e-6cc1-400f-bf3a-5740b699ac21,2026-06-29 02:27:25.4699+00,2026-06-29 02:27:25.4699+00
