id,teamId,createdBy,name,description,queryJson,lastUsedAt,createdAt,updatedAt,scope,visibility
b048b590-8109-4abc-87e9-09d977bc8403,a9c81e05-8b1a-47ad-a80d-dbc45603f068,0c96a57e-6cc1-400f-bf3a-5740b699ac21,Bruno,,"{""query"": """", ""periodEnd"": """", ""periodStart"": """", ""closerFilter"": [""0c96a57e-6cc1-400f-bf3a-5740b699ac21""], ""statusFilter"": [], ""assignedUsers"": [], ""onlyMeetingsHeld"": false}",,2026-04-28 13:54:37.207+00,2026-04-28 13:54:37.207+00,crm,private
955cb903-7b38-474b-99d3-5cd06f3132fa,642b0596-7431-4f50-acff-1eb4199fab76,0c96a57e-6cc1-400f-bf3a-5740b699ac21,Reuniões realizadas Por Eduardo,,"{""query"": """", ""periodEnd"": """", ""periodStart"": """", ""closerFilter"": [], ""statusFilter"": [], ""assignedUsers"": [""493aecc1-6791-4d62-bc63-f4f55c78e44e""], ""onlyMeetingsHeld"": true}",2026-04-05 02:29:00.751+00,2026-04-05 02:26:14.967+00,2026-04-05 02:29:00.752+00,crm,private
e086e7b5-0376-4c54-8b7c-bac246d3992d,a9c81e05-8b1a-47ad-a80d-dbc45603f068,0c96a57e-6cc1-400f-bf3a-5740b699ac21,No Show,,"{""query"": """", ""periodEnd"": """", ""periodStart"": """", ""closerFilter"": [], ""statusFilter"": [""no_show""], ""assignedUsers"": [], ""onlyMeetingsHeld"": false}",2026-06-02 20:16:51.705+00,2026-04-28 13:54:05.913+00,2026-06-02 20:16:51.705+00,crm,private
03c75362-7959-46fc-9638-54540f13ff19,a9c81e05-8b1a-47ad-a80d-dbc45603f068,0c96a57e-6cc1-400f-bf3a-5740b699ac21,Propostas,,"{""query"": """", ""periodEnd"": """", ""periodStart"": """", ""closerFilter"": [], ""statusFilter"": [""offerSubmission""], ""assignedUsers"": [], ""onlyMeetingsHeld"": false, ""scheduledPeriodEnd"": """", ""scheduledPeriodStart"": """"}",,2026-06-02 20:17:22.159+00,2026-06-02 20:17:22.159+00,crm,private
