id,teamId,createdBy,name,description,csvStoragePath,totalContacts,isArchived,createdAt,updatedAt,isSystemDefault,isBlocklist,managedByBackofficeUserId
cc45cdff-fd8f-4591-a425-f02a89687111,9e39aa76-bf9c-4630-afb4-5ea10a9cb738,40e83a63-14e3-4b21-bf74-fdd96b791fc9,Todos contatos,,,0,f,2026-07-03 17:01:50.4+00,2026-07-03 17:01:50.4+00,t,f,
80e20a2c-463f-4b10-aa53-bddcfb8675d9,32ccdbe1-627f-4fe3-a506-056b997ed89b,b0737bfd-7bea-493b-8cfc-14946fcea8cd,16/07,,,16,f,2026-07-14 15:35:21.46+00,2026-07-15 15:35:50.175+00,f,f,
4e4d4c5b-5c10-4b28-8c69-edd3f76874d8,b3db042c-4932-4f66-8aff-3136ed50db97,0c96a57e-6cc1-400f-bf3a-5740b699ac21,Bloqueados,,,0,f,2026-07-24 18:27:15.039+00,2026-07-24 18:27:15.039+00,f,t,
e1c30e37-2730-4793-b73b-c7a0401c26f4,a9c81e05-8b1a-47ad-a80d-dbc45603f068,0c96a57e-6cc1-400f-bf3a-5740b699ac21,Advogados 006,,,2000,f,2026-07-24 15:36:27.967+00,2026-07-24 16:00:05.41+00,f,f,
ebe8a380-0937-4501-a02f-736d0756c1eb,a9c81e05-8b1a-47ad-a80d-dbc45603f068,0c96a57e-6cc1-400f-bf3a-5740b699ac21,Advogados 002,,,1997,f,2026-07-24 15:34:52.877+00,2026-07-27 18:30:57.452+00,f,f,
0ac203f4-5fe1-4c3b-bd3c-daabdb7b1648,b874694b-f463-4dbd-bb6f-b04f121a8802,2f940451-4cf3-44e3-9040-07942e4146c1,Todos contatos,,,0,f,2026-07-16 19:22:21.305+00,2026-07-16 19:22:21.305+00,t,f,
179a8080-d19a-4358-ae7c-0b7ddb434ab1,28f7b9e8-9516-4a08-864c-9ff3e085ba87,3dd22c56-67d0-4ce5-abfe-d8d784d2d709,Todos contatos,,,0,f,2026-07-22 15:08:47.088+00,2026-07-22 15:08:47.088+00,t,f,
ec5236c3-6985-4b62-a46c-0e2a907d4986,28f7b9e8-9516-4a08-864c-9ff3e085ba87,3dd22c56-67d0-4ce5-abfe-d8d784d2d709,Bloqueados,,,0,f,2026-07-22 15:08:47.156+00,2026-07-22 15:08:47.156+00,f,t,
c9d133a1-07e9-4838-972f-29ae9351471a,32ccdbe1-627f-4fe3-a506-056b997ed89b,8474aaf6-e7d1-4165-9bef-bf76bc701038,lista 1,,,2,f,2026-06-17 11:30:26.27+00,2026-07-04 20:51:21.364+00,f,f,
c193661c-2876-47cf-bbae-851a0e9fd99c,8f4abfd3-b0bd-4a0c-991a-d553d92f915a,b85e7fb2-5e76-433b-9bc6-8c5d1faacacc,Todos contatos,,,0,f,2026-07-06 12:31:03.956+00,2026-07-06 12:31:03.956+00,t,f,
58ebb832-73f6-411c-8563-2e0f788b37bd,32ccdbe1-627f-4fe3-a506-056b997ed89b,b0737bfd-7bea-493b-8cfc-14946fcea8cd,Corretoras Leads Bruno,,,22896,f,2026-07-17 21:04:46.38+00,2026-07-27 20:02:50.703+00,f,f,
0f06399d-9ea9-4f06-94f7-6eb3cb9b353d,32ccdbe1-627f-4fe3-a506-056b997ed89b,b0737bfd-7bea-493b-8cfc-14946fcea8cd,Trafego - Meta,,,1,f,2026-07-18 00:09:50.944+00,2026-07-21 19:22:05.467+00,f,f,
076a8d24-aaef-43a1-bf78-07397b4d6d5b,32ccdbe1-627f-4fe3-a506-056b997ed89b,b0737bfd-7bea-493b-8cfc-14946fcea8cd,Trafego - Meta - GERAL,Todos os leads a partir de 07/2026,,28,f,2026-07-18 13:38:42.993+00,2026-07-21 19:22:14.068+00,f,f,
b540040e-5b61-4377-b85f-0376e812bbc4,32ccdbe1-627f-4fe3-a506-056b997ed89b,8474aaf6-e7d1-4165-9bef-bf76bc701038,09/07,,,58,f,2026-07-02 22:04:14.504+00,2026-07-08 21:17:04.681+00,f,f,
2591c243-9493-420c-8137-9982ef920cb3,32ccdbe1-627f-4fe3-a506-056b997ed89b,8474aaf6-e7d1-4165-9bef-bf76bc701038,Todos contatos,,,23334,f,2026-06-17 11:30:12.901+00,2026-07-27 20:02:50.916+00,t,f,
345be9e0-ba1d-414a-ad06-d632861f3f9f,e5ac1df2-3c5e-478d-bc6d-441323c60f87,b0737bfd-7bea-493b-8cfc-14946fcea8cd,Todos contatos,,,0,f,2026-07-06 16:59:34.038+00,2026-07-06 16:59:34.038+00,t,f,
f1ff2555-c9bf-423a-98a5-24db5ed5a544,32ccdbe1-627f-4fe3-a506-056b997ed89b,b0737bfd-7bea-493b-8cfc-14946fcea8cd,SUB CONTATOS - BRUNO,E-MAILS SECUNDARIOS E TERCIARIOS DA LISTA DO BRUNO,,189,f,2026-07-21 18:10:14.025+00,2026-07-21 22:57:11.701427+00,f,f,
44a76a5d-7539-4a68-bcb5-15264e3853b9,f12782b1-df3b-4ed4-9efb-f915874bf83c,b0737bfd-7bea-493b-8cfc-14946fcea8cd,Bloqueados,,,0,f,2026-07-21 13:56:14.434+00,2026-07-21 13:56:14.434+00,f,t,
756a782b-a24d-4c1e-8cca-24685ee6f4a8,a9c81e05-8b1a-47ad-a80d-dbc45603f068,0c96a57e-6cc1-400f-bf3a-5740b699ac21,Advogados 001,,,1994,f,2026-07-24 15:34:26.314+00,2026-07-27 12:08:21.286+00,f,f,
7d52843a-0c19-4045-b820-4b0fd05a8cc5,32ccdbe1-627f-4fe3-a506-056b997ed89b,b0737bfd-7bea-493b-8cfc-14946fcea8cd,Bloqueados,,,17,f,2026-07-18 13:35:40.419+00,2026-07-27 20:02:50.97+00,f,t,
085f8255-5c93-4ed9-9dc8-297cdac73bd6,7b577c22-5513-42cc-ab19-2bf867e14ebc,0c96a57e-6cc1-400f-bf3a-5740b699ac21,SHIFTDATA | BRADESCO,,,3647,f,2026-07-17 12:17:51.479+00,2026-07-24 16:22:58.4+00,f,f,
294fcc52-0343-41f7-bc8a-b7f5ab228cfa,1c2d5668-5cd9-49a7-a138-3ccd2bea5cbb,0c96a57e-6cc1-400f-bf3a-5740b699ac21,Todos contatos,,,1141,f,2026-07-23 03:23:07.649+00,2026-07-24 09:34:55.096+00,t,f,
