id,subscriptionId,periodStart,periodEnd,creditsUsed,overageCount,overageCharged,createdAt,updatedAt
8b54478b-32ad-47f6-9669-a1e05cb92644,2de74b09-2f30-4bb8-88d5-fc3ac20187e8,2026-06-01 20:12:56.191+00,2026-07-01 03:00:00+00,0,0,0.00,2026-06-01 20:12:56.774+00,2026-06-01 20:12:56.774+00
81b28d32-a707-44ba-8f97-0e3a5e1069ae,2de74b09-2f30-4bb8-88d5-fc3ac20187e8,2026-05-19 23:10:43.961+00,2026-06-01 03:00:00+00,0,0,0.00,2026-05-19 23:10:44.036+00,2026-07-06 20:08:15.091775+00
