id,idempotencyKey,status,createdAt,updatedAt
cf69f8de-f24e-4912-a72b-0aaeb715d779,lead-status:e74c223f-bb5b-458b-969a-a42ea48e961c:0c96a57e-6cc1-400f-bf3a-5740b699ac21:1981015,completed,2026-07-20 19:05:53.29+00,2026-07-20 19:05:53.361+00
7a32c7f3-4af9-4058-984d-594d408c6aca,lead-status:24408ee4-6ec9-4a35-b5be-488e4911a5e0:0c96a57e-6cc1-400f-bf3a-5740b699ac21:1981017,completed,2026-07-20 19:05:53.403+00,2026-07-20 19:05:53.472+00
5f843573-a95e-4d65-943c-eeafe1d16642,lead-status:6ab8da8b-d815-47d4-9fb8-9d098abffbf6:0c96a57e-6cc1-400f-bf3a-5740b699ac21:1981017,completed,2026-07-20 19:05:53.524+00,2026-07-20 19:05:53.593+00
1f769249-1d81-48be-aceb-93db7f8b0dd5,lead-status:89b5bf59-e262-405c-99d7-46ddd6599d90:0c96a57e-6cc1-400f-bf3a-5740b699ac21:1981017,completed,2026-07-20 19:05:53.638+00,2026-07-20 19:05:53.709+00
f1846b58-22b4-420c-9f92-f9f1c0b8cae0,lead-status:e6293e7b-d161-4651-a053-45e4a7228d66:0c96a57e-6cc1-400f-bf3a-5740b699ac21:1981017,completed,2026-07-20 19:05:53.754+00,2026-07-20 19:05:53.826+00
60c5db0d-51ee-46f1-acdf-8d50fae8ca1b,lead-status:f35e408b-d94b-4639-aa1d-06316b5a0468:0c96a57e-6cc1-400f-bf3a-5740b699ac21:1981017,completed,2026-07-20 19:05:53.869+00,2026-07-20 19:05:53.943+00
476963ad-586f-46e0-87bd-7b222e942e2c,lead-status:990edec5-a118-44da-9bda-ee9a8d3c1c59:0c96a57e-6cc1-400f-bf3a-5740b699ac21:1981018,completed,2026-07-20 19:05:53.99+00,2026-07-20 19:05:54.06+00
069d167e-1613-4ee1-8bfc-2789c21e25a4,lead-status:84e709c4-0e1b-4ec7-80b7-850966e1e589:0c96a57e-6cc1-400f-bf3a-5740b699ac21:1981020,completed,2026-07-20 19:05:54.104+00,2026-07-20 19:05:54.178+00
868585f7-6a4c-4263-8e95-0fdfe122e029,lead-status:4fb6599f-f943-4df5-811b-9514f0936f4b:0c96a57e-6cc1-400f-bf3a-5740b699ac21:1981021,completed,2026-07-20 19:05:54.22+00,2026-07-20 19:05:54.289+00
6655a8b1-0b76-41a6-9e62-349417127332,lead-status:433cbb79-acae-42e1-81e2-23bb856d6aac:0c96a57e-6cc1-400f-bf3a-5740b699ac21:1981023,completed,2026-07-20 19:05:54.335+00,2026-07-20 19:05:54.408+00
42cf1084-ea18-42c5-a2a3-23c02ab298b4,lead-status:ceaceee3-01a1-4b68-bf82-9ba95af24114:0c96a57e-6cc1-400f-bf3a-5740b699ac21:1981023,completed,2026-07-20 19:05:54.45+00,2026-07-20 19:05:54.519+00
2d4819a7-454d-4c04-9555-f63b0fed0a59,lead-status:d34caa3c-cf96-4576-a922-626c574258fe:0c96a57e-6cc1-400f-bf3a-5740b699ac21:1981024,completed,2026-07-20 19:05:54.563+00,2026-07-20 19:05:54.635+00
0898b90f-d3df-4a6f-bfb7-53418fd53f9b,lead-status:ea061821-b78b-48a7-b4cb-1306a5c56dd2:0c96a57e-6cc1-400f-bf3a-5740b699ac21:1981024,completed,2026-07-20 19:05:54.681+00,2026-07-20 19:05:54.75+00
6f46f30e-06dd-4af8-aa62-fce1846c1da3,lead-status:92e6223a-46ec-4b1e-b366-8ae43b5c7729:0c96a57e-6cc1-400f-bf3a-5740b699ac21:1981027,completed,2026-07-20 19:05:54.793+00,2026-07-20 19:05:54.862+00
0bb02fce-2aa9-4f84-99c8-7fbb314ea598,lead-status:aa80c3e1-dbde-4de5-90b7-f42476e00139:0c96a57e-6cc1-400f-bf3a-5740b699ac21:1981028,completed,2026-07-20 19:05:54.904+00,2026-07-20 19:05:54.971+00
bbb48548-d960-430c-8778-1b746cac76ca,lead-status:d2558546-eff7-4a2a-937d-60b379eed880:0c96a57e-6cc1-400f-bf3a-5740b699ac21:1981028,completed,2026-07-20 19:05:55.015+00,2026-07-20 19:05:55.092+00
830f0050-6c6c-4653-85a5-a2c33e2e1f02,meeting-reminder-30m:a94f8e61-4027-4525-8156-9f8006f99557:0c96a57e-6cc1-400f-bf3a-5740b699ac21,completed,2026-07-20 19:05:55.137+00,2026-07-20 19:05:55.209+00
4b2e6c99-d93a-474e-82b3-682787d4833a,meeting-reminder-30m:14e3e349-9473-453d-8ecd-46b094f9a853:0c96a57e-6cc1-400f-bf3a-5740b699ac21,completed,2026-07-20 19:05:55.252+00,2026-07-20 19:05:55.322+00
1565712c-6866-43c9-b884-df55803b74fb,lead-status:d2558546-eff7-4a2a-937d-60b379eed880:0c96a57e-6cc1-400f-bf3a-5740b699ac21:1981029,completed,2026-07-20 19:05:55.365+00,2026-07-20 19:05:55.434+00
e0e73615-6714-4973-bf4e-fb30e1cbb350,lead-status:0ff2487a-04f3-4ddd-a2bb-d49461adec92:0c96a57e-6cc1-400f-bf3a-5740b699ac21:1981030,completed,2026-07-20 19:05:55.477+00,2026-07-20 19:05:55.545+00
cb01befa-82ff-4550-b8d2-0b2c08acff5e,lead-status:6b9ac704-b086-48a6-9f78-20d045f05375:0c96a57e-6cc1-400f-bf3a-5740b699ac21:1981030,completed,2026-07-20 19:05:55.592+00,2026-07-20 19:05:55.661+00
f22bcf36-23da-4b78-8946-e13e8b5320fd,lead-status:bec1e847-2fb2-4817-8ae5-74e917a868eb:0c96a57e-6cc1-400f-bf3a-5740b699ac21:1981030,completed,2026-07-20 19:05:55.705+00,2026-07-20 19:05:55.776+00
b8fc30ef-997e-4abf-a867-b0c545e3542e,meeting-reminder-5m:a94f8e61-4027-4525-8156-9f8006f99557:0c96a57e-6cc1-400f-bf3a-5740b699ac21,completed,2026-07-20 19:05:55.824+00,2026-07-20 19:05:55.92+00
00e1bd7a-c1a2-44fc-aa9f-20de2faed231,meeting-reminder-5m:14e3e349-9473-453d-8ecd-46b094f9a853:0c96a57e-6cc1-400f-bf3a-5740b699ac21,completed,2026-07-20 19:05:55.965+00,2026-07-20 19:05:56.036+00
dd6d2b6c-0ea9-4fbd-8d1a-c83eb2ddd23a,lead-status:a1070bb7-37e0-4cd4-8a27-c31525e0426e:0c96a57e-6cc1-400f-bf3a-5740b699ac21:1981031,completed,2026-07-20 19:05:56.081+00,2026-07-20 19:05:56.149+00
