id,taskId,profileId,status,googleEventId,googleCalendarId,googleSynced,assignedAt,updatedAt
bd76330b-a255-4f77-8053-0ea93e1c8011,06580a2b-1680-4da7-a3f9-02ff28cb9f04,0c96a57e-6cc1-400f-bf3a-5740b699ac21,PENDING,SEllX1VoR1UwU2lzM0JtWQ,@default,t,2026-07-03 13:23:56.661+00,2026-07-03 13:23:57.505+00
177143db-fa56-48c6-a2aa-c3720a27d0f4,46003920-3a89-4a96-9447-9a8d3ed84a35,c0daec83-b339-449f-9255-98985fbb7b60,PENDING,U1VZTnNTTXFyZUwxaldTLQ,@default,t,2026-07-24 14:22:42.74+00,2026-07-24 14:22:43.638+00
7b24b682-da68-43bf-8d35-b1f43e06e43a,ae7a90f1-c58c-4e5a-878d-cae4eb6a3e43,b0737bfd-7bea-493b-8cfc-14946fcea8cd,PENDING,amlZSktFbXo4UDllS3BncQ,@default,t,2026-07-09 15:11:48.837+00,2026-07-09 15:11:49.353+00
2863734e-acc9-46d9-908d-051e68d6e007,7760622e-a34d-404d-a39c-a9e95db933bf,e50fcb28-10bf-4ad0-809a-1785d438b3c1,PENDING,,,f,2026-07-27 14:01:42.219+00,2026-07-27 14:01:42.219+00
c38df09a-b2ef-4904-bb2e-c7b0b7c7f2e5,26550da3-381a-48be-9452-2434d9e78e59,b0737bfd-7bea-493b-8cfc-14946fcea8cd,DONE,S1NQUUZyOG1pbEJBbFNtUQ,@default,t,2026-07-09 18:18:38.706+00,2026-07-10 11:51:39.354+00
9b0de28a-7e0f-4892-915d-3414d04bf89f,5924a3a0-73ac-4421-a5f2-9f7abf52254b,b0737bfd-7bea-493b-8cfc-14946fcea8cd,PENDING,VlRIWGpYYTZ6TzNzQnhhUg,@default,t,2026-07-10 11:52:49.554+00,2026-07-10 11:52:50.227+00
0e180ed0-57a1-4839-a2eb-6dd4bf197ae0,5dfcaeda-f07d-4767-8a41-5a7132471eca,e50fcb28-10bf-4ad0-809a-1785d438b3c1,PENDING,,,f,2026-07-27 14:02:29.802+00,2026-07-27 14:02:29.802+00
b243edd0-adcf-43a2-9064-c257d4926e0a,1ce2fadc-75d3-452a-a1d8-47e4ac2b0d7e,b0737bfd-7bea-493b-8cfc-14946fcea8cd,DONE,,,f,2026-07-11 00:59:21.39+00,2026-07-13 21:19:49.585+00
da121c54-e8b8-4ebe-9227-09e992faa7fd,771bb6a8-f221-4fe4-9d30-a2fccc64c710,b0737bfd-7bea-493b-8cfc-14946fcea8cd,DONE,,,f,2026-07-11 00:59:38.05+00,2026-07-13 21:25:40.965+00
717c6b00-52af-4eb0-ab86-68b6ebdcd01f,9760ab6a-b78f-402f-9b0f-e21c9e595a18,b0737bfd-7bea-493b-8cfc-14946fcea8cd,DONE,c1JULTRQQmItS3FlSHpIMw,@default,t,2026-07-11 01:00:19.426+00,2026-07-13 21:25:58.505+00
81031f00-7440-4882-abef-dbf245b24c23,4d496d7d-fcdf-41f7-9d4f-6ee574907ed9,b0737bfd-7bea-493b-8cfc-14946fcea8cd,PENDING,c1hkdHFXUkpFSFJKYUJSag,@default,t,2026-07-13 21:28:43.243+00,2026-07-13 21:28:43.946+00
e026c977-2c8b-4b9b-89e4-16a5f2f8bc80,00c0664f-5cbe-4201-914c-2bd1505d5933,b0737bfd-7bea-493b-8cfc-14946fcea8cd,PENDING,aE1EOWRjYTBpNnVXaXQtTA,@default,t,2026-07-14 17:55:31.986+00,2026-07-14 17:55:32.903+00
4f7d92c7-061c-482f-8da4-491a4225b270,46003920-3a89-4a96-9447-9a8d3ed84a35,2c3a1ece-7645-4b06-b934-d38429949296,PENDING,,,f,2026-07-24 14:22:42.74+00,2026-07-24 14:22:42.74+00
